x_scaled,y_scaled,confidence
0.39776838378906254,0.060156481933593756,0.8315236568450928
0.09912958374023438,0.09148115234375001,0.824646532535553
0.2804620849609375,0.3345430068969727,0.8190720081329346
0.38578055419921875,0.3401517776489258,0.788244903087616
0.3955812377929688,0.2632103515625,0.7805629968643188
0.37323941650390624,0.28110559997558593,0.7638534307479858
0.16694114990234377,0.1956262878417969,0.7549954652786255
0.3520291015625,0.3013186370849609,0.753364086151123
0.30733905029296876,0.3412078796386719,0.7417426705360413
0.33244891357421874,0.3228939056396484,0.7372908592224121
0.2414376953125,0.2748534576416016,0.731937050819397
0.08869604797363281,0.10269517822265625,0.7246529459953308
0.3142390258789063,0.1335002685546875,0.7167908549308777
0.34211716308593754,0.18462717895507813,0.7156515717506409
0.29596201171875003,0.04546275634765625,0.7117443680763245
0.3647887451171875,0.2911736480712891,0.6850834488868713
0.25360111083984377,0.2633443359375,0.6847550868988037
0.33979255371093753,0.3129210205078125,0.6841250061988831
0.3196103393554688,0.33154192810058597,0.6818265914916992
0.19869171142578126,0.20903737182617188,0.6590535044670105
0.20467101440429689,0.3034727661132813,0.647093653678894
0.19676878051757812,0.007593518066406251,0.6465769410133362
0.17754943237304688,0.22722728271484377,0.6458109617233276
0.05152978668212891,0.17047666625976562,0.6433166265487671
0.33088446044921876,0.12326473388671876,0.6376737952232361
0.25860734863281254,0.28657422180175784,0.6249715089797974
0.18727257690429688,0.2169449951171875,0.6244109869003296
0.3655442016601563,0.16225110473632814,0.61968994140625
0.07049589233398437,0.1234033447265625,0.6146283149719238
0.442435595703125,0.32429817657470705,0.6110075116157532
0.12529459838867188,0.09850037841796876,0.6047704219818115
0.11162400512695313,0.2859595184326172,0.6011053323745728
0.4014584228515625,0.3329138305664063,0.5998805165290833
0.21009367675781251,0.20015910034179688,0.5902604460716248
0.15350145263671874,0.24867860107421877,0.5897316932678223
0.41185045166015627,0.32374663696289063,0.5889649987220764
0.3859772216796875,0.27378790283203125,0.5850934982299805
0.14061846923828125,0.18675632324218752,0.5822544693946838
0.27492578125,0.07080892333984376,0.5804349780082703
0.19136119995117187,0.2446749694824219,0.5779666304588318
0.1732625427246094,0.16576749267578125,0.5742219686508179
0.23369305419921876,0.1790227294921875,0.5737980008125305
0.11717661743164064,0.10944971923828126,0.5713061094284058
0.18586287231445314,0.1511806396484375,0.5643773674964905
0.34674232177734376,0.20825053100585939,0.5627347230911255
0.2662727783203125,0.3430066352844238,0.5587571859359741
0.19661181640625,0.14285935058593752,0.5525749921798706
0.358154296875,0.1978261901855469,0.5471634268760681
0.1447234069824219,0.04936038818359375,0.5405304431915283
0.22803526611328126,0.28189313964843754,0.5326774716377258
0.27534978027343754,0.13805799560546875,0.5278265476226807
0.33968703613281254,0.11319267578125,0.5194015502929688
0.08009704895019532,0.1128801513671875,0.5131373405456543
0.08652626647949219,0.1407584228515625,0.5089336037635803
0.14302642211914063,0.1571080078125,0.50539231300354
0.20250701904296875,0.23722972412109375,0.5046226978302002
0.12187904052734376,0.17738326416015626,0.49846312403678894
0.2531024047851563,0.15754859619140626,0.49184560775756836
0.06959997863769532,0.1489103271484375,0.4550168216228485
0.15727748413085937,0.004264770507812501,0.44576603174209595
0.11273082275390625,0.18626198730468752,0.444088876247406
0.27118577880859374,0.2414016296386719,0.4428940415382385
0.1292691162109375,0.1984665466308594,0.44052374362945557
0.18003010253906251,0.25399407958984377,0.440291166305542
0.1882923583984375,0.31915835266113285,0.4355959892272949
0.28422109375,0.36350117950439453,0.4317290186882019
0.2922228149414063,0.2560429443359375,0.43119823932647705
0.10725611572265625,0.22138508911132815,0.4244038164615631
0.324884423828125,0.2947995330810547,0.42322513461112976
0.15236190795898438,0.18124040527343752,0.4168347716331482
0.4193950927734375,0.34628337554931643,0.41057199239730835
0.2582392822265625,0.35624848022460937,0.39437010884284973
0.2169002685546875,0.29567161865234376,0.38580766320228577
0.13300052490234376,0.16584680786132813,0.3643992841243744
0.05601679229736328,0.0655255615234375,0.3634498715400696
0.1611914245605469,0.23762602539062502,0.36154794692993164
0.3173607421875,0.36560943450927735,0.3591810166835785
0.09731907653808594,0.1329865234375,0.3447750508785248
0.16314368286132813,0.069323828125,0.3413238525390625
0.16077462158203126,0.1712541015625,0.3302072584629059
0.10351590270996094,0.122383935546875,0.324322372674942
0.21506226806640627,0.37062325973510746,0.3078498840332031
0.17841919555664063,0.1265619384765625,0.30413326621055603
0.13814022216796876,0.06248671875,0.29899439215660095
0.3752976684570313,0.3504166160583496,0.2833171784877777
0.472472265625,0.22648579101562502,0.26609593629837036
0.16660050048828126,0.2697712677001953,0.23138467967510223
0.24120740966796878,0.09738099365234376,0.22477516531944275
0.21168819580078127,0.3255144424438477,0.22241559624671936
0.10478021240234375,0.12078409423828125,0.2218184620141983
0.24240480957031252,0.19845077514648438,0.2049369364976883
0.020490697860717774,0.325099951171875,0.19060447812080383
0.16696130981445315,0.26646586914062503,0.17262843251228333
0.39547808837890625,0.36408736801296476,0.16894470155239105
0.14226192626953127,0.2583306640625,0.16417299211025238
0.30338677978515627,0.14237525634765627,0.15822233259677887
0.07034915466308594,0.14372728271484375,0.15295040607452393
